IP,cf-meta-ip,端口,速度(Mbps),CF归属国,机房,TCP延迟(ms),TLS延迟(ms)
167.160.188.156,167.160.188.156,443,54.78,CA,YYZ,58.02,92.08
155.248.216.138,104.28.208.119,443,40.1,CA,YYZ,74.06,78.57
45.133.16.41,45.133.16.41,443,39.01,CA,YYZ,61.14,70.17
40.233.77.216,2603:c021:5:8c88::825,443,30.14,CA,YYZ,79.15,77.42
167.160.190.137,167.160.190.137,443,27.76,CA,YYZ,63.72,72.51
68.233.122.42,68.233.122.42,443,26.39,CA,YUL,71.18,93.0
40.233.68.138,40.233.68.138,443,21.72,CA,YYZ,69.59,74.16
140.238.144.211,2603:c021:4:9a88::1022,443,21.21,CA,YYZ,65.34,73.12
40.233.103.212,2603:c021:5:8c88::1008,443,20.18,CA,YYZ,68.56,75.9
72.11.145.117,72.11.145.117,443,20.12,CA,YYZ,61.42,124.26
40.233.110.251,2603:c021:4:9a88::1018,443,17.9,CA,YYZ,71.72,78.09
159.203.2.180,159.203.2.180,443,11.85,CA,YYZ,71.56,80.24
40.233.116.225,40.233.116.225,443,11.34,CA,YYZ,69.91,75.48
179.255.184.6,179.255.184.6,443,10.25,CA,YYZ,61.9,66.16
40.233.87.120,2603:c021:4:9a88::1016,443,9.45,CA,YYZ,73.35,92.42
72.11.146.199,72.11.146.199,443,8.42,CA,YYZ,62.24,98.15
172.98.207.58,172.98.207.6,443,8.33,CA,YYZ,86.41,90.99
40.233.71.238,2603:c021:5:8c88::1006,443,7.81,CA,YYZ,69.3,85.89
40.233.99.248,2603:c021:4:9a88::1020,443,7.64,CA,YYZ,73.46,79.27
107.189.30.77,107.189.30.77,443,3.4,CH,ZRH,151.8,203.32
84.234.17.132,84.234.17.132,8443,3.39,CH,ZRH,160.89,163.06
38.180.85.203,38.180.85.203,443,3.22,CH,MXP,148.39,182.42
83.228.193.177,83.228.193.177,8443,3.2,CH,ZRH,149.07,162.46
82.38.135.128,82.38.135.128,443,3.15,CH,ZRH,180.53,187.16
84.234.16.169,84.234.16.169,443,3.13,CH,ZRH,158.65,171.35
45.59.123.140,45.59.123.140,443,3.09,CH,ZRH,153.34,189.62
83.228.193.229,83.228.193.229,443,3.09,CH,ZRH,155.57,166.06
140.238.208.210,140.238.208.210,443,3.07,CH,ZRH,146.92,157.8
83.228.193.162,83.228.193.162,8443,3.07,CH,ZRH,151.22,194.52
140.238.209.8,140.238.209.8,443,3.05,CH,ZRH,148.5,151.15
83.228.198.53,83.228.198.53,8443,3.03,CH,ZRH,148.37,163.22
146.70.71.157,146.70.71.157,443,2.93,CH,FRA,192.32,212.69
38.180.84.40,38.180.84.40,443,2.91,CH,MXP,156.51,195.96
176.10.125.114,176.10.125.114,443,2.88,CH,ZRH,145.57,153.38
84.234.17.132,84.234.17.132,443,2.86,CH,ZRH,154.13,168.93
83.228.193.162,83.228.193.162,443,2.76,CH,ZRH,161.49,208.13
83.228.193.177,83.228.193.177,443,2.69,CH,ZRH,156.8,175.39
152.67.85.239,152.67.85.239,443,2.65,CH,ZRH,153.13,161.6
83.228.198.53,83.228.198.53,443,2.62,CH,ZRH,148.89,165.1
140.238.170.32,140.238.170.32,443,2.47,CH,ZRH,153.58,156.91
82.22.36.103,82.22.36.103,443,2.45,CH,ZRH,155.34,174.53
83.228.193.188,83.228.193.188,443,2.44,CH,ZRH,148.79,157.95
83.228.193.188,83.228.193.188,8443,2.41,CH,ZRH,146.16,155.81
82.38.139.231,82.38.139.231,443,2.41,CH,ZRH,158.2,180.31
